track_id,track_name,artist,genre,album_type,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo
track_00026,Song Title 26,Harry Styles,indie,album,97,262524,0,0.887,0.706,11,-7.59,0,0.048,0.038,0.589,141.3
track_00027,Song Title 27,Ed Sheeran,indie,album,61,199197,1,0.744,0.919,2,-3.64,1,0.001,0.294,0.33,117.4
track_00028,Song Title 28,Taylor Swift,rock,album,59,158254,0,0.693,0.549,10,-8.77,1,0.126,0.165,0.414,113.3
track_00029,Song Title 29,Coldplay,pop,single,58,243798,0,0.865,0.404,4,-12.49,0,0.027,0.143,0.426,161.6
track_00030,Song Title 30,Dua Lipa,pop,album,71,156045,0,0.841,0.555,6,-9.26,1,0.001,0.083,0.623,133.5
track_00031,Song Title 31,The Weeknd,latin,album,86,178385,0,0.687,0.7,1,-11.96,0,0.131,0.062,0.301,156.3
track_00032,Song Title 32,Coldplay,latin,album,85,150462,0,0.544,0.656,6,-9.09,1,0.058,0.148,0.199,126.4
track_00033,Song Title 33,BTS,latin,album,66,243710,0,0.818,0.671,5,-9.63,0,0.092,0.145,0.461,98.8
track_00034,Song Title 34,Ed Sheeran,latin,album,74,230022,1,0.875,0.562,6,-7.65,0,0.197,0.238,0.381,105.4
track_00035,Song Title 35,Olivia Rodrigo,r&b,single,76,266640,0,0.865,0.713,6,-6.73,0,0.062,0.036,0.524,122.6
track_00036,Song Title 36,Coldplay,r&b,album,56,194556,0,0.558,0.736,8,-9.48,1,0.056,0.023,0.842,104.3
track_00037,Song Title 37,Billie Eilish,indie,album,98,181160,0,0.761,0.795,6,-6.54,1,0.027,0.355,0.524,92.3
track_00038,Song Title 38,The Weeknd,hip-hop,album,79,191631,1,0.367,0.84,11,-6.22,0,0.029,0.207,0.533,150.0
track_00039,Song Title 39,Kendrick Lamar,rock,single,66,163353,1,0.563,0.676,5,-8.27,0,0.127,0.234,0.129,106.4
track_00040,Song Title 40,Kendrick Lamar,rock,album,89,260002,0,0.857,0.458,9,-14.71,0,0.048,0.025,0.773,123.5
track_00041,Song Title 41,Doja Cat,latin,album,94,328182,0,0.943,0.842,7,-5.81,0,0.014,0.003,0.384,127.4
track_00042,Song Title 42,BTS,indie,album,70,184666,0,0.836,0.65,6,-10.06,1,0.008,0.274,0.595,105.3
track_00043,Song Title 43,Coldplay,dance/electronic,album,67,230744,0,0.738,0.447,5,-12.28,1,0.051,0.242,0.282,156.3
track_00044,Song Title 44,Coldplay,hip-hop,single,90,204557,1,0.614,0.884,3,-7.31,1,0.05,0.062,0.183,92.1
track_00045,Song Title 45,Doja Cat,indie,single,55,225460,0,0.566,0.703,6,-9.92,0,0.085,0.084,0.42,126.5
track_00046,Song Title 46,Harry Styles,hip-hop,album,97,247089,0,0.957,0.877,11,-3.62,1,0.051,0.303,0.337,126.2
track_00047,Song Title 47,Harry Styles,hip-hop,single,66,169991,0,0.862,0.724,7,-10.51,0,0.012,0.468,0.357,118.6
track_00048,Song Title 48,Doja Cat,hip-hop,single,77,193249,1,0.579,0.278,7,-17.51,0,0.057,0.05,0.477,87.6
track_00049,Song Title 49,Harry Styles,indie,single,64,252110,0,0.751,0.44,11,-13.07,1,0.19,0.176,0.74,141.8
track_00050,Song Title 50,Drake,latin,single,67,227809,0,0.505,0.728,11,-9.89,0,0.014,0.243,0.375,138.6
track_00051,Song Title 51,Coldplay,rock,album,68,221456,0,0.729,0.678,3,-10.93,1,0.094,0.215,0.714,103.1
track_00052,Song Title 52,Ariana Grande,rock,album,69,227838,1,0.828,0.8,9,-6.98,1,0.072,0.052,0.827,137.7
track_00053,Song Title 53,Bad Bunny,latin,album,63,231276,0,0.667,0.682,8,-12.09,0,0.11,0.223,0.325,129.4
track_00054,Song Title 54,Billie Eilish,hip-hop,single,85,250521,0,0.753,0.725,2,-10.42,1,0.013,0.303,0.361,88.0
track_00055,Song Title 55,Drake,dance/electronic,album,39,236382,0,0.536,0.919,8,-1.18,0,0.227,0.306,0.432,98.7
track_00056,Song Title 56,Dua Lipa,pop,single,59,208224,0,0.918,0.59,2,-9.64,0,0.078,0.001,0.472,148.5
track_00057,Song Title 57,Drake,indie,single,58,222356,0,0.875,0.457,6,-14.18,1,0.15,0.239,0.64,127.7
track_00058,Song Title 58,Ariana Grande,pop,album,62,207639,0,0.734,0.865,3,-5.33,1,0.023,0.018,0.388,105.9
track_00059,Song Title 59,Dua Lipa,latin,single,83,183884,0,0.75,0.506,4,-10.76,0,0.108,0.24,0.627,98.5
track_00060,Song Title 60,Billie Eilish,dance/electronic,album,82,208193,0,0.902,0.27,2,-13.7,1,0.122,0.033,0.664,107.1
track_00061,Song Title 61,Ariana Grande,indie,album,74,206016,0,0.781,0.624,1,-10.28,1,0.041,0.284,0.387,108.9
track_00062,Song Title 62,Taylor Swift,latin,single,58,150566,1,0.7,0.675,11,-7.25,0,0.039,0.334,0.676,98.9
track_00063,Song Title 63,Bad Bunny,hip-hop,album,74,237122,0,0.49,0.85,7,-10.48,1,0.086,0.731,0.382,76.5
track_00064,Song Title 64,Billie Eilish,rock,single,46,243056,1,0.729,0.586,6,-12.74,1,0.008,0.306,0.783,148.5
track_00065,Song Title 65,Coldplay,pop,single,94,229033,0,0.9,0.339,6,-14.25,1,0.106,0.009,0.635,144.3
track_00066,Song Title 66,Harry Styles,r&b,album,56,240964,0,0.423,0.927,7,-4.52,0,0.004,0.291,0.835,88.2
track_00067,Song Title 67,Taylor Swift,r&b,album,56,203843,0,0.429,0.454,0,-14.56,1,0.017,0.037,0.648,123.4
track_00068,Song Title 68,BTS,dance/electronic,album,65,192007,0,0.654,0.757,11,-7.36,0,0.087,0.068,0.285,97.4
track_00069,Song Title 69,Billie Eilish,hip-hop,album,49,243211,0,0.654,0.872,7,-7.3,1,0.008,0.779,0.895,113.5
track_00070,Song Title 70,BTS,pop,single,98,172942,0,0.902,0.7,9,-9.35,1,0.286,0.045,0.643,111.4
track_00071,Song Title 71,Dua Lipa,hip-hop,album,79,171729,0,0.661,0.761,11,-5.78,1,0.162,0.102,0.709,109.3
track_00072,Song Title 72,Taylor Swift,pop,album,86,225684,1,0.765,0.809,4,-5.23,0,0.079,0.204,0.307,170.1
track_00073,Song Title 73,Bad Bunny,dance/electronic,album,58,224726,0,0.786,0.683,7,-11.07,1,0.137,0.006,0.266,109.0
track_00074,Song Title 74,Coldplay,dance/electronic,album,75,242552,1,0.787,0.913,8,-7.51,1,0.175,0.306,0.577,99.8
track_00075,Song Title 75,Doja Cat,r&b,single,83,150134,0,0.854,0.883,1,-6.69,1,0.024,0.113,0.145,100.9
track_00076,Song Title 76,Coldplay,hip-hop,album,73,206579,0,0.788,0.704,2,-8.78,1,0.151,0.247,0.587,146.1
track_00077,Song Title 77,Ariana Grande,indie,single,54,170437,0,0.507,0.919,5,-6.61,1,0.017,0.178,0.359,78.7
track_00078,Song Title 78,Coldplay,r&b,album,75,239935,0,0.666,0.788,8,-5.31,0,0.043,0.638,0.585,100.9
track_00079,Song Title 79,Olivia Rodrigo,hip-hop,single,74,256681,0,0.904,0.619,9,-9.4,0,0.065,0.108,0.505,156.2
track_00080,Song Title 80,Post Malone,r&b,album,61,227657,0,0.861,0.64,9,-8.95,1,0.1,0.082,0.543,126.1
track_00081,Song Title 81,Doja Cat,indie,album,46,190475,0,0.744,0.593,7,-13.05,1,0.002,0.116,0.342,124.8
track_00082,Song Title 82,Drake,rock,single,80,183799,0,0.886,0.875,5,-3.66,0,0.027,0.399,0.719,173.3
track_00083,Song Title 83,Harry Styles,rock,album,92,195585,0,0.649,0.654,4,-15.17,0,0.075,0.446,0.803,126.2
track_00084,Song Title 84,The Weeknd,rock,single,61,180560,1,0.746,0.761,2,-6.16,1,0.035,0.014,0.318,102.3
track_00085,Song Title 85,Bad Bunny,rock,album,54,204426,1,0.656,0.32,11,-13.01,0,0.119,0.718,0.633,112.9
track_00086,Song Title 86,Taylor Swift,latin,album,87,183719,0,0.9,0.798,3,-8.09,1,0.084,0.261,0.149,91.6
track_00087,Song Title 87,Post Malone,pop,album,51,161642,0,0.674,0.754,6,-5.39,1,0.021,0.378,0.497,151.4
track_00088,Song Title 88,Bad Bunny,latin,single,59,223322,0,0.797,0.45,6,-12.93,0,0.013,0.217,0.524,134.4
track_00089,Song Title 89,Taylor Swift,latin,album,55,226023,0,0.502,0.816,2,-6.81,1,0.079,0.204,0.267,148.1
track_00090,Song Title 90,Harry Styles,latin,album,87,269479,1,0.881,0.706,3,-8.02,1,0.048,0.008,0.437,150.3
track_00091,Song Title 91,Ed Sheeran,rock,album,77,194838,0,0.638,0.736,2,-1.85,1,0.015,0.632,0.734,109.6
track_00092,Song Title 92,Ed Sheeran,indie,album,69,143842,0,0.718,0.557,1,-8.4,1,0.032,0.079,0.764,96.4
track_00093,Song Title 93,BTS,dance/electronic,album,63,238535,0,0.829,0.702,5,-7.37,1,0.029,0.06,0.376,118.7
track_00094,Song Title 94,Bad Bunny,dance/electronic,single,62,242471,0,0.923,0.315,6,-16.78,0,0.009,0.13,0.248,98.2
track_00095,Song Title 95,Ed Sheeran,pop,single,57,249970,0,0.751,0.458,3,-12.39,0,0.063,0.203,0.423,124.1
track_00096,Song Title 96,Olivia Rodrigo,rock,single,60,261496,1,0.657,0.919,4,-6.93,1,0.115,0.141,0.585,148.3
track_00097,Song Title 97,Doja Cat,rock,single,66,261993,0,0.795,0.521,7,-10.02,0,0.069,0.159,0.481,115.8
track_00098,Song Title 98,Taylor Swift,rock,album,76,175812,0,0.867,0.58,8,-10.44,1,0.14,0.272,0.431,123.7
track_00099,Song Title 99,BTS,r&b,single,77,264182,1,0.853,0.828,6,-9.01,0,0.011,0.447,0.324,117.7
track_00100,Song Title 100,Coldplay,hip-hop,album,73,198518,0,0.853,0.717,9,-8.37,1,0.046,0.108,0.299,140.1
track_00101,Song Title 101,Taylor Swift,r&b,album,69,237945,0,0.653,0.803,0,-8.86,1,0.075,0.208,0.608,103.3
track_00102,Song Title 102,BTS,hip-hop,album,79,219082,0,0.89,0.946,10,-4.56,0,0.09,0.063,0.393,65.1
track_00103,Song Title 103,Harry Styles,rock,album,54,175953,0,0.848,0.722,2,-10.17,1,0.095,0.341,0.528,131.8
track_00104,Song Title 104,Bad Bunny,rock,single,64,250612,1,0.819,0.545,10,-11.23,1,0.104,0.561,0.085,144.7
track_00105,Song Title 105,Harry Styles,r&b,album,60,194036,0,0.769,0.497,4,-10.54,1,0.084,0.108,0.377,131.2
track_00106,Song Title 106,Doja Cat,r&b,album,48,275057,1,0.807,0.424,2,-13.33,1,0.008,0.283,0.786,104.0
track_00107,Song Title 107,Doja Cat,hip-hop,album,75,183286,0,0.808,0.743,0,-8.89,0,0.095,0.255,0.734,91.6
track_00108,Song Title 108,Post Malone,dance/electronic,single,56,174844,1,0.745,0.499,1,-11.62,0,0.103,0.326,0.379,132.4
track_00109,Song Title 109,Harry Styles,hip-hop,album,65,186799,0,0.46,0.76,7,-6.44,1,0.403,0.288,0.412,123.5
track_00110,Song Title 110,Ariana Grande,r&b,album,63,262332,1,0.426,0.315,6,-17.18,0,0.095,0.233,0.2,116.9
track_00111,Song Title 111,Coldplay,indie,album,57,155148,0,0.815,0.633,9,-9.36,0,0.093,0.269,0.659,165.6
track_00112,Song Title 112,Billie Eilish,r&b,single,60,241957,1,0.517,0.801,2,-4.55,1,0.058,0.608,0.213,96.3
track_00113,Song Title 113,Harry Styles,indie,album,51,274132,0,0.728,0.939,3,-3.82,1,0.162,0.246,0.435,164.4
track_00114,Song Title 114,Post Malone,pop,album,93,204071,0,0.855,0.687,2,-8.9,1,0.46,0.031,0.555,120.8
track_00115,Song Title 115,Dua Lipa,r&b,album,59,196241,1,0.851,0.719,3,-7.21,1,0.121,0.004,0.147,74.1
track_00116,Song Title 116,Olivia Rodrigo,pop,album,70,212796,0,0.796,0.852,7,-5.47,1,0.076,0.046,0.419,115.5
track_00117,Song Title 117,Taylor Swift,dance/electronic,album,82,170715,1,0.72,0.444,8,-11.38,1,0.007,0.051,0.881,144.0
track_00118,Song Title 118,Doja Cat,hip-hop,album,66,302689,0,0.621,0.729,6,-12.39,1,0.104,0.039,0.303,110.9
track_00119,Song Title 119,Dua Lipa,indie,single,60,233443,0,0.98,0.838,8,-9.7,1,0.099,0.393,0.382,83.1
track_00120,Song Title 120,Post Malone,hip-hop,album,83,167281,0,0.829,0.826,8,-4.78,0,0.12,0.133,0.539,115.9
track_00121,Song Title 121,BTS,pop,album,78,181748,0,0.964,0.526,6,-14.59,1,0.011,0.273,0.477,98.6
track_00122,Song Title 122,Billie Eilish,indie,single,56,216269,0,0.563,0.556,6,-10.31,1,0.085,0.106,0.821,132.3
track_00123,Song Title 123,Coldplay,hip-hop,album,59,164695,0,0.464,0.734,7,-8.97,1,0.028,0.041,0.68,139.3
track_00124,Song Title 124,Coldplay,r&b,album,55,157348,0,0.674,0.803,11,-9.15,1,0.114,0.786,0.6,93.6
track_00125,Song Title 125,Coldplay,rock,album,68,220281,0,0.793,0.723,9,-7.73,0,0.022,0.229,0.164,102.4
track_00126,Song Title 126,Olivia Rodrigo,pop,album,39,245209,0,0.795,0.641,11,-9.34,0,0.092,0.686,0.422,138.9
track_00127,Song Title 127,Billie Eilish,hip-hop,single,63,242032,0,0.624,0.674,11,-4.99,1,0.028,0.205,0.691,98.5
track_00128,Song Title 128,Olivia Rodrigo,pop,album,93,207909,0,0.866,0.669,2,-10.54,1,0.001,0.225,0.456,92.9
track_00129,Song Title 129,Doja Cat,latin,single,58,200392,0,0.624,0.735,7,-5.37,1,0.08,0.052,0.334,90.5
track_00130,Song Title 130,Olivia Rodrigo,pop,album,58,211808,0,0.54,0.837,0,-5.9,0,0.01,0.303,0.453,128.8
track_00131,Song Title 131,The Weeknd,indie,album,51,244724,1,0.552,0.715,5,-9.89,1,0.086,0.174,0.516,127.7
track_00132,Song Title 132,Billie Eilish,latin,album,72,166013,1,0.729,0.704,1,-7.14,1,0.208,0.451,0.286,102.9
track_00133,Song Title 133,Ariana Grande,indie,album,84,182790,0,0.693,0.744,6,-6.97,0,0.279,0.15,0.591,120.1
track_00134,Song Title 134,Billie Eilish,rock,album,89,196778,0,0.856,0.711,2,-8.56,1,0.022,0.032,0.229,158.2
track_00135,Song Title 135,Post Malone,latin,single,51,201521,1,0.481,0.794,10,-6.77,1,0.133,0.083,0.35,95.6
track_00136,Song Title 136,The Weeknd,r&b,album,69,208093,0,0.609,0.482,9,-13.49,0,0.035,0.118,0.344,71.2
track_00137,Song Title 137,Coldplay,pop,single,82,209128,0,0.715,0.526,4,-13.23,1,0.185,0.206,0.697,131.4
track_00138,Song Title 138,Post Malone,hip-hop,album,77,233590,0,0.863,0.827,9,-5.25,1,0.124,0.443,0.336,117.2
track_00139,Song Title 139,Post Malone,dance/electronic,single,72,148301,0,0.812,0.679,1,-9.59,0,0.006,0.507,0.285,102.2
track_00140,Song Title 140,Doja Cat,pop,single,68,153949,0,0.903,0.77,0,-7.84,1,0.042,0.229,0.397,136.3
track_00141,Song Title 141,Kendrick Lamar,pop,single,67,186718,0,0.564,0.784,4,-6.9,0,0.033,0.312,0.361,141.0
track_00142,Song Title 142,Drake,rock,single,93,240225,1,0.901,0.816,8,-6.42,0,0.123,0.015,0.801,64.8
track_00143,Song Title 143,The Weeknd,r&b,single,71,187181,1,0.726,0.892,8,-8.59,1,0.042,0.544,0.368,103.7
track_00144,Song Title 144,Post Malone,dance/electronic,album,52,208562,0,0.713,0.538,6,-8.82,1,0.092,0.047,0.82,177.9
track_00145,Song Title 145,Drake,latin,album,64,214484,0,0.558,0.877,8,-5.72,1,0.074,0.079,0.419,134.6
track_00146,Song Title 146,Drake,latin,album,83,221063,1,0.942,0.764,3,-8.18,0,0.297,0.627,0.686,136.9
track_00147,Song Title 147,The Weeknd,latin,single,74,264760,0,0.59,0.848,2,-5.58,1,0.222,0.04,0.32,149.3
track_00148,Song Title 148,Kendrick Lamar,indie,album,72,234312,0,0.665,0.792,10,-6.85,0,0.045,0.111,0.768,120.4
track_00149,Song Title 149,Dua Lipa,indie,single,58,244911,0,0.646,0.64,3,-8.22,1,0.103,0.222,0.518,139.9
track_00150,Song Title 150,BTS,hip-hop,album,85,205562,1,0.779,0.77,6,-6.61,1,0.142,0.246,0.278,138.0
track_00151,Song Title 151,Ariana Grande,dance/electronic,album,84,261572,0,0.52,0.658,7,-8.03,1,0.183,0.087,0.776,133.5
track_00152,Song Title 152,BTS,latin,album,86,212506,1,0.895,0.585,1,-7.94,0,0.006,0.174,0.342,111.9
track_00153,Song Title 153,Billie Eilish,indie,album,88,141563,1,0.694,0.713,4,-6.83,1,0.029,0.007,0.463,124.3
track_00154,Song Title 154,Coldplay,hip-hop,album,63,296043,0,0.952,0.487,4,-12.52,1,0.031,0.4,0.608,105.3
track_00155,Song Title 155,Ariana Grande,r&b,album,54,211616,0,0.719,0.514,8,-14.02,1,0.046,0.507,0.289,120.3
track_00156,Song Title 156,Billie Eilish,hip-hop,album,69,228542,0,0.809,0.753,2,-4.62,0,0.015,0.243,0.108,90.8
track_00157,Song Title 157,Post Malone,indie,album,67,172598,0,0.571,0.675,11,-9.67,1,0.055,0.065,0.768,100.2
track_00158,Song Title 158,Coldplay,rock,album,94,286899,0,0.889,0.753,5,-8.91,1,0.087,0.019,0.364,112.9
track_00159,Song Title 159,Taylor Swift,rock,album,83,182236,0,0.951,0.605,9,-13.79,1,0.055,0.457,0.194,96.4
track_00160,Song Title 160,The Weeknd,latin,single,45,196516,0,0.182,0.14,11,-17.09,0,0.088,0.528,0.564,107.4
track_00161,Song Title 161,Ariana Grande,rock,album,58,156481,1,0.755,0.926,4,-4.89,1,0.006,0.116,0.437,115.9
track_00162,Song Title 162,Ariana Grande,latin,album,51,222760,0,0.687,0.924,1,-8.24,0,0.167,0.258,0.443,130.1
track_00163,Song Title 163,Harry Styles,latin,album,64,200146,0,0.534,0.625,1,-9.09,0,0.224,0.302,0.467,143.7
track_00164,Song Title 164,Post Malone,indie,album,81,155974,0,0.675,0.781,3,-8.49,1,0.077,0.086,0.723,108.4
track_00165,Song Title 165,Dua Lipa,rock,album,63,207635,0,0.671,0.477,11,-6.99,1,0.171,0.09,0.592,153.4
track_00166,Song Title 166,Drake,latin,album,95,213317,0,0.64,0.955,3,-5.86,1,0.011,0.166,0.214,143.5
track_00167,Song Title 167,Coldplay,dance/electronic,album,58,201338,0,0.858,0.619,6,-10.96,1,0.128,0.175,0.152,132.6
track_00168,Song Title 168,Post Malone,r&b,album,56,146268,0,0.716,0.893,11,-7.46,1,0.01,0.294,0.708,123.8
track_00169,Song Title 169,Ed Sheeran,hip-hop,album,66,220177,0,0.924,0.579,0,-8.18,1,0.042,0.038,0.948,128.0
track_00170,Song Title 170,Kendrick Lamar,hip-hop,single,57,165632,0,0.676,0.689,10,-9.71,1,0.031,0.29,0.537,149.7
track_00171,Song Title 171,Drake,indie,single,80,241122,0,0.806,0.72,5,-9.93,1,0.07,0.017,0.456,150.6
track_00172,Song Title 172,The Weeknd,rock,album,60,190560,0,0.498,0.822,10,-5.43,1,0.029,0.251,0.536,153.4
track_00173,Song Title 173,Drake,rock,album,55,242466,1,0.654,0.939,8,-7.74,1,0.081,0.039,0.521,121.0
track_00174,Song Title 174,Dua Lipa,latin,album,80,210492,0,0.517,0.841,1,-5.29,0,0.037,0.011,0.482,133.9
track_00175,Song Title 175,Doja Cat,pop,album,51,212288,0,0.725,0.793,11,-3.75,1,0.158,0.09,0.608,153.6
track_00176,Song Title 176,Harry Styles,latin,single,65,254670,0,0.807,0.914,4,-4.24,0,0.08,0.027,0.481,104.4
track_00177,Song Title 177,Drake,r&b,album,43,181465,0,0.671,0.402,9,-12.29,0,0.019,0.101,0.295,112.0
track_00178,Song Title 178,The Weeknd,dance/electronic,album,65,171647,0,0.462,0.623,10,-8.3,0,0.033,0.084,0.677,120.4
track_00179,Song Title 179,Dua Lipa,hip-hop,album,69,229449,0,0.663,0.888,9,-2.37,0,0.15,0.495,0.396,142.5
track_00180,Song Title 180,BTS,latin,single,88,164008,0,0.742,0.454,3,-10.32,1,0.039,0.137,0.484,142.9
track_00181,Song Title 181,Ariana Grande,pop,album,66,182042,0,0.521,0.63,3,-9.04,1,0.061,0.666,0.678,114.2
track_00182,Song Title 182,Doja Cat,pop,album,85,154729,0,0.727,0.61,7,-8.43,1,0.084,0.17,0.658,82.3
track_00183,Song Title 183,Harry Styles,latin,album,67,250313,0,0.487,0.693,5,-10.69,0,0.034,0.136,0.725,126.2
track_00184,Song Title 184,Ariana Grande,indie,album,52,174906,0,0.66,0.761,6,-6.27,1,0.028,0.469,0.646,97.0
track_00185,Song Title 185,Kendrick Lamar,hip-hop,album,72,187100,1,0.734,0.671,10,-11.27,1,0.052,0.025,0.653,82.8
track_00186,Song Title 186,Billie Eilish,indie,album,73,164848,0,0.602,0.767,11,-8.46,1,0.019,0.289,0.433,88.4
track_00187,Song Title 187,Doja Cat,dance/electronic,album,83,196510,0,0.823,0.832,8,-12.85,1,0.027,0.154,0.273,128.2
track_00188,Song Title 188,Doja Cat,pop,album,47,204996,0,0.29,0.39,2,-12.96,0,0.005,0.152,0.161,154.0
track_00189,Song Title 189,BTS,pop,album,75,238909,0,0.734,0.694,10,-10.19,1,0.029,0.18,0.631,121.0
track_00190,Song Title 190,BTS,r&b,album,52,163731,0,0.673,0.461,1,-10.4,0,0.031,0.148,0.565,125.3
track_00191,Song Title 191,Coldplay,dance/electronic,album,61,188967,0,0.811,0.767,2,-6.95,1,0.261,0.101,0.262,149.6
track_00192,Song Title 192,Olivia Rodrigo,pop,album,54,259795,0,0.816,0.648,7,-7.39,1,0.071,0.376,0.485,81.4
track_00193,Song Title 193,Drake,dance/electronic,single,74,246437,0,0.785,0.773,8,-9.8,1,0.124,0.062,0.279,133.0
track_00194,Song Title 194,Doja Cat,hip-hop,album,53,186276,0,0.854,0.731,9,-6.22,1,0.004,0.582,0.734,119.7
track_00195,Song Title 195,Ariana Grande,rock,album,51,208268,0,0.389,0.469,4,-8.29,1,0.009,0.167,0.619,134.2
track_00196,Song Title 196,The Weeknd,pop,album,78,278881,0,0.577,0.766,7,-6.22,0,0.135,0.164,0.723,107.9
track_00197,Song Title 197,Bad Bunny,r&b,album,45,168210,0,0.599,0.463,10,-11.01,1,0.078,0.403,0.643,99.6
track_00198,Song Title 198,Olivia Rodrigo,hip-hop,single,70,142755,0,0.904,0.686,6,-8.69,1,0.017,0.014,0.125,123.5
track_00199,Song Title 199,Bad Bunny,latin,album,76,191236,1,0.79,0.89,11,-6.81,0,0.042,0.112,0.783,161.2
track_00200,Song Title 200,Harry Styles,dance/electronic,single,67,207081,0,0.45,0.774,11,-6.09,0,0.062,0.16,0.271,141.5
track_00201,Song Title 201,Dua Lipa,latin,album,64,181923,0,0.764,0.708,8,-11.69,0,0.148,0.159,0.574,107.3
track_00202,Song Title 202,Ariana Grande,indie,album,78,244191,0,0.746,0.687,3,-9.85,1,0.005,0.224,0.658,86.5
track_00203,Song Title 203,Ariana Grande,hip-hop,single,75,217372,1,0.676,0.606,9,-13.85,1,0.073,0.019,0.66,77.9
track_00204,Song Title 204,Olivia Rodrigo,latin,single,65,188845,0,0.449,0.258,2,-17.29,0,0.101,0.313,0.239,152.9
track_00205,Song Title 205,Doja Cat,pop,single,62,191135,0,0.564,0.716,8,-7.25,1,0.305,0.311,0.711,96.1
track_00206,Song Title 206,Kendrick Lamar,dance/electronic,single,66,183877,0,0.921,0.778,7,-6.55,1,0.132,0.384,0.496,111.9
track_00207,Song Title 207,Olivia Rodrigo,rock,album,57,239040,0,0.966,0.387,6,-13.7,0,0.026,0.418,0.492,153.0
track_00208,Song Title 208,Bad Bunny,hip-hop,single,74,193461,0,0.69,0.727,0,-8.03,1,0.099,0.054,0.377,79.7
track_00209,Song Title 209,Olivia Rodrigo,pop,album,68,168248,0,0.756,0.796,1,-11.03,1,0.115,0.14,0.666,157.3
track_00210,Song Title 210,Ariana Grande,r&b,single,57,243666,1,0.748,0.363,8,-14.94,1,0.105,0.104,0.755,113.7
track_00211,Song Title 211,Kendrick Lamar,indie,album,67,200325,0,0.673,0.82,4,-8.25,0,0.137,0.048,0.388,91.3
track_00212,Song Title 212,Drake,dance/electronic,single,49,162403,0,0.641,0.39,0,-15.08,0,0.187,0.438,0.517,113.8
